Model,CV_F1_mean,CV_F1_std,CV_ROC_AUC_mean,CV_Precision_mean,CV_Recall_mean
LogisticRegression,0.21619408304616322,0.1612842245638946,0.5380938152308219,0.32461080537056464,0.2230508845191343
LightGBM,0.15714868915738905,0.12174542592262087,0.5252918309301114,0.293538562949019,0.10977124183006537
RandomForest,0.15521978254031893,0.09941943783677606,0.519911241783249,0.45754316621593505,0.10334461680568838
XGBoost,0.1885154059792197,0.1441883190080825,0.5164937387173605,0.29961874129840665,0.14439260761775974
